"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PENTICTON A","BC"," 49°27'47.000"" N","119°36'08.000"" W","344.4 m","1126150","71889","YYF"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"< 1 km","2.6","1.7","0.5","0.1","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.2","7.1","C"
"1 to 9 km","49.8","29.5","11.2","1.5","0.8","1.3","0.4","2.4","0.6","3.1","17.1","43.4","161.0","C"
"> 9 km","691.6","645.8","732.4","718.4","743.2","718.7","743.6","741.6","719.4","740.9","701.9","699.4","8596.9","C"
"Cloud Amount (hours with)"
"0 to 2 tenths","43.4","104.8","152.8","150.8","167.5","152.9","284.0","296.1","258.3","184.4","74.2","49.8","1919.1","C"
"3 to 7 tenths","97.6","127.3","171.6","186.4","209.9","227.5","218.2","223.6","200.5","178.5","129.1","113.4","2083.8","C"
"8 to 10 tenths","602.9","444.9","419.6","382.7","366.6","339.6","241.8","224.3","261.2","381.0","516.7","580.9","4762.2","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","April     29","A"
"Average Date of First Fall Frost","October   06","A"
"Average Length of Frost-Free Period","159 Days","A"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","May 20","May 12","May 10","May 05","Apr 30","Apr 26","Apr 18"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Sep 18","Sep 26","Sep 28","Oct 05","Oct 09","Oct 12","Oct 19"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","131","140","143","150","155","159","175"
