"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PRINCETON A","BC"," 49°28'04.000"" N","120°30'45.000"" W","701.7 m","1126510","","YDC"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Below 0 °C","160.9","87.0","15.3","0.0","0.0","0.0","0.0","0.0","0.0","4.0","59.1","179.4","505.7","C"
"Below 5 °C","306.5","205.7","80.8","13.3","0.8","0.0","0.0","0.0","0.3","25.4","163.2","329.4","1125.4","C"
"Below 10 °C","461.5","346.5","222.5","95.3","29.2","2.7","0.1","0.2","12.9","112.6","308.1","484.4","2075.9","C"
"Below 15 °C","616.5","487.6","377.4","235.7","127.8","43.5","10.5","10.1","77.0","255.0","458.0","639.4","3338.7","C"
"Below 18 °C","709.5","572.3","470.4","325.5","211.0","105.2","43.0","43.3","148.1","347.9","548.0","732.4","4256.6","C"
"Bright Sunshine"
"Total Hours","59.0","99.8","159.9","199.6","247.3","255.5","300.2","285.3","219.3","146.9","66.6","48.2","2087.5","C"
"Days with measurable","20.8","24.3","29.4","28.7","30.0","29.3","30.3","30.4","29.2","28.9","22.1","19.6","323.2","C"
"% of possible daylight hours","21.9","35.0","43.5","48.5","52.0","52.6","61.2","63.9","57.8","43.8","24.2","18.8","43.6","C"
"Extreme Daily","8.3","10.0","11.0","13.3","15.2","15.0","15.0","14.1","12.1","10.6","8.3","7.3","",""
"Date (yyyy/dd)","1988/31","2001/26","1979/19","1989/30","1988/30","1978/20","1998/01","1992/02","1988/01","1979/02","1978/10","1994/04",""," "
"Humidex"
"Extreme Humidex","11.8","13.5","22.8","30.3","37.4","40.8","45.5","39.1","39.1","30.1","23.8","10.2","",""
"Date (yyyy/dd)","1983/11","1986/24","1994/30","1987/27","2010/15","1955/11","2010/08","2008/16","1988/02","1980/06","1975/04","1980/26",""," "
"Wind Chill"
"Extreme Wind Chill","-36.9","-34.5","-34.0","-14.8","-8.2","-2.8","0.0","-1.4","-6.0","-26.6","-38.5","-40.3","",""
"Date (yyyy/dd)","1957/26","1989/01","1955/04","2008/21","1954/01","1954/02","1953/01","1992/23","1957/19","1984/31","1985/27","1964/16",""," "
"Humidity"
"Average Relative Humidity - 1500LST (%)","80.7","69.1","50.3","40.4","39.8","40.1","35.8","34.1","37.6","50.6","73.1","81.7","52.8","A"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","May       23","C"
"Average Date of First Fall Frost","September 17","C"
"Average Length of Frost-Free Period","116 Days","C"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Jun 19","Jun 11","Jun 05","May 30","May 22","May 18","May 11"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Aug 31","Sep 06","Sep 07","Sep 14","Sep 19","Sep 20","Sep 28"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","78","90","96","109","115","119","128"
