"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*CASTLEGAR A","BC"," 49°17'47.000"" N","117°37'57.000"" W","495.6 m","1141455","","YCG"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Days with measurable","14.8","19.6","25.2","28.1","29.6","28.8","30.6","30.7","29.0","25.4","16.7","13.9","292.3","C"
"% of possible daylight hours","14.4","26.7","35.0","42.3","47.8","48.0","59.6","61.9","53.8","36.8","17.5","13.0","38.1","C"
"Extreme Daily","7.4","9.0","10.3","13.3","14.1","14.6","14.5","13.3","11.6","9.4","8.0","6.0","",""
"Date (yyyy/dd)","1981/31","1970/28","1994/30","1980/30","1971/11","1966/06","1986/20","1966/01","1987/10","1999/01","1982/01","1968/04",""," "
"Humidex"
"Extreme Humidex","9.0","14.1","22.6","27.7","35.9","46.9","53.4","42.8","37.9","28.2","19.2","10.6","",""
"Date (yyyy/dd)","1989/18","1986/25","2004/30","1957/30","1986/26","1961/18","1961/14","1997/05","1967/01","1980/07","1975/03","1975/03",""," "
"Days with Humidex >= 30","0.0","0.0","0.0","0.0","0.0","0.0","7.0","21.0","3.0","0.0","0.0","","",""
"Days with Humidex >= 35","0.0","0.0","0.0","0.0","0.0","0.0","1.0","9.0","0.0","0.0","0.0","","",""
"Days with Humidex >= 40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","",""
"Wind Chill"
"Extreme Wind Chill","-31.8","-33.3","-28.2","-8.9","-4.3","-6.8","0.0","0.0","-5.2","-19.3","-29.6","-41.6","",""
"Date (yyyy/dd)","1957/25","1956/15","1955/04","1975/01","1982/04","1997/21","1954/01","1954/02","1970/13","1984/31","1985/28","1968/29",""," "
"Days with Wind Chill < -20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","",""
"Days with Wind Chill < -30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","",""
"Days with Wind Chill < -40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","",""
"Humidity"
"Average Vapour Pressure (kPa)","0.5","0.5","0.6","0.7","1.0","1.1","1.4","1.5","1.1","0.8","0.7","","",""
"Average Relative Humidity - 0600LST (%)","84.6","84.8","85.2","84.5","82.9","81.9","78.3","80.8","86.5","90.4","89.0","85.5","84.5","A"
"Average Relative Humidity - 1500LST (%)","76.0","66.6","52.5","42.8","43.7","45.7","37.3","35.0","42.6","58.1","74.6","77.7","54.4","A"
"Pressure"
"Average Station Pressure (kPa)","96.4","96.1","95.8","95.7","95.6","95.6","95.8","95.7","95.9","95.8","95.9","","",""
"Average Sea Level Pressure (kPa)","102.5","102.1","101.7","101.6","101.4","101.4","101.6","101.4","101.7","101.7","101.9","","",""
"Visibility (hours with)"
"< 1 km","3.0","4.0","11.0","3.0","2.0","0.0","2.0","4.0","21.0","42.0","38.0","","",""
"1 to 9 km","92.0","87.0","79.0","41.0","33.0","34.0","22.0","3.0","38.0","144.0","134.0","","",""
"> 9 km","649.0","581.0","654.0","676.0","709.0","686.0","720.0","737.0","661.0","558.0","548.0","","",""
"Cloud Amount (hours with)"
"0 to 2 tenths","18.0","61.0","239.0","94.0","59.0","80.0","199.0","416.0","305.0","143.0","94.0","","",""
"3 to 7 tenths","99.0","137.0","164.0","205.0","178.0","180.0","265.0","203.0","157.0","136.0","78.0","","",""
"8 to 10 tenths","627.0","474.0","341.0","421.0","507.0","460.0","280.0","125.0","258.0","465.0","548.0","","",""

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","May       03","A"
"Average Date of First Fall Frost","October   06","A"
"Average Length of Frost-Free Period","154 Days","A"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","May 19","May 11","May 08","May 01","Apr 26","Apr 25","Apr 20"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Sep 19","Sep 25","Sep 27","Oct 07","Oct 12","Oct 15","Oct 20"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","131","145","147","150","165","168","181"
