"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*CRANBROOK A","BC"," 49°36'44.000"" N","115°46'55.000"" W","940.0 m","1152102","71880","YXC"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Days with Wind Chill < -30","1.2","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","1.0","3.3","A"
"Days with Wind Chill < -40","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","A"
"Humidity"
"Average Vapour Pressure (kPa)","0.4","0.4","0.5","0.5","0.7","1.0","1.1","1.0","0.8","0.6","0.5","0.3","0.6","A"
"Average Relative Humidity - 0600LST (%)","81.5","80.9","77.4","74.7","75.4","75.9","71.5","72.7","78.9","81.4","83.5","82.3","78.0","A"
"Average Relative Humidity - 1500LST (%)","70.6","58.7","47.7","40.9","41.0","42.2","35.7","35.6","41.3","49.7","67.1","73.4","50.3","A"
"Pressure"
"Average Station Pressure (kPa)","90.8","90.8","90.6","90.6","90.6","90.6","90.8","90.8","90.8","90.8","90.8","90.9","90.7","A"
"Average Sea Level Pressure (kPa)","102.1","102.0","101.6","101.5","101.4","101.4","101.5","101.5","101.7","101.8","101.9","102.2","101.7","A"
"Visibility (hours with)"
"< 1 km","9.9","5.6","4.3","1.0","0.1","0.8","0.7","1.0","1.6","4.1","13.5","16.4","59.0","C"
"1 to 9 km","87.7","48.9","32.0","15.0","10.1","12.0","5.0","7.1","12.2","12.3","65.2","101.2","408.7","C"
"> 9 km","646.4","622.6","707.7","704.0","733.8","707.3","738.3","735.9","706.2","727.7","641.3","626.4","8297.5","C"
"Cloud Amount (hours with)"
"0 to 2 tenths","110.9","158.7","165.1","153.1","167.0","154.6","249.5","288.1","260.9","222.3","122.5","115.5","2168.1","C"
"3 to 7 tenths","140.6","155.6","196.0","210.3","225.5","242.7","262.3","240.6","195.4","197.7","149.1","137.4","2353.1","C"
"8 to 10 tenths","492.5","362.8","383.0","356.7","351.6","322.7","232.2","215.3","263.8","324.0","448.4","491.1","4243.9","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","May       18","A"
"Average Date of First Fall Frost","September 22","A"
"Average Length of Frost-Free Period","126 Days","A"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Jun 03","May 25","May 24","May 19","May 15","May 12","May 03"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Sep 08","Sep 12","Sep 14","Sep 20","Sep 23","Sep 28","Oct 04"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","100","109","116","123","129","135","142"
